origin,destination,date,price,link,carrier,searchDay
BCN,DPS,09-07-2023,692.98,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fgtes%2F1%2F9772.11109.2023-07-09%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-31939%257C146%257C9772%257C2023-07-09T16%253A20%257C11089%257C2023-07-09T23%253A35%257C375%257C-%257C-%257C-%253Bflight%257C-31939%257C960%257C11089%257C2023-07-10T02%253A05%257C11109%257C2023-07-10T16%253A55%257C590%257C-%257C-%257C-%26carriers%3D-31939%26operators%3D-31939%253B-31939%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D7f85f048-4eef-49b3-af8d-85d8cd360ca1%26ticket_price%3D692.98%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3D2f2575ac-9fda-40a8-9e04-d3d5ec0f283c%26q_ids%3DH4sIAAAAAAAAAOOS4mJJL0ktFmLmWOMjxczxNEyh4ePypWxGTAqMAEj0O3ccAAAA%257C-297874968534285194%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T18%253A40%253A06%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Qatar Airways,14-01-2023
DPS,BCN,21-08-2023,554.69,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fsing%2F1%2F11109.9772.2023-08-21%2Fair%2Fairli%2Fflights%3Fitinerary%3Dflight%257C-31876%257C939%257C11109%257C2023-08-21T13%253A05%257C16292%257C2023-08-21T15%253A50%257C165%257CN16IAOH%257CN%257CFF41JKT%253Bflight%257C-31876%257C388%257C16292%257C2023-08-21T23%253A35%257C9772%257C2023-08-22T06%253A55%257C800%257CN16IAOH%257CN%257CFF41JKT%26carriers%3D-31876%26operators%3D-31876%253B-31876%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3Dc0797911-7fb1-479a-a0a3-183d78bd14a9%26ticket_price%3D554.69%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3D2e77eac3-f1eb-43b0-b490-71eca0a460f2%26q_ids%3DH4sIAAAAAAAAAOOS4mIpzsxLF2LmeBomxcyxxkeh4VLXcjYjJgVGAEfuOHkcAAAA%257C-4936368026357533331%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T18%253A40%253A26%26pqid%3Dfalse%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Singapore Airlines,14-01-2023
BCN,KUL,08-07-2023,490.98,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fctes%2F1%2F9772.13311.2023-07-08%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32090%257C1139%257C9772%257C2023-07-08T06%253A50%257C11616%257C2023-07-08T09%253A00%257C130%257C-%257C-%257C-%253Bflight%257C-32003%257C116%257C11616%257C2023-07-08T10%253A35%257C13938%257C2023-07-08T19%253A10%257C395%257C-%257C-%257C-%253Bflight%257C-32003%257C821%257C13938%257C2023-07-08T20%253A40%257C13311%257C2023-07-09T07%253A55%257C435%257C-%257C-%257C-%26carriers%3D-32090%252C-32003%26operators%3D-32090%253B-32003%253B-32003%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3Dd61e3c40-600c-4f9a-9377-f64b238a7ebc%26ticket_price%3D490.98%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3D0114e11b-5490-42c4-8bab-eb6412556cb4%26q_ids%3DH4sIAAAAAAAAAOOS4mJJLkktFmLmWOMjxczxT1Gh4dyipWxGTAqMAOMKe7ocAAAA%257C-7360661914293877892%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-13T13%253A16%253A53%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Lufthansa,14-01-2023
KUL,BCN,21-08-2023,513.88,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fctes%2F1%2F13311.9772.2023-08-21%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32348%257C343%257C13311%257C2023-08-21T02%253A40%257C11182%257C2023-08-21T05%253A30%257C410%257C-%257C-%257C-%253Bflight%257C-32348%257C185%257C11182%257C2023-08-21T08%253A15%257C9772%257C2023-08-21T13%253A25%257C430%257C-%257C-%257C-%26carriers%3D-32348%26operators%3D-32348%253B-32348%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D00b8a53b-da8d-4c56-ac4e-294f5f137ba9%26ticket_price%3D513.88%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3Db86a4d91-1676-4756-b4ba-0edfd8766519%26q_ids%3DH4sIAAAAAAAAAOOS4mJJLkktFmLm-Kcoxcyxxkeh4VLXcjYjJgVGAEtE1cUcAAAA%257C-1742368305916400967%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T13%253A02%253A48%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Emirates,14-01-2023
MAD,DPS,13-07-2023,606.8,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fctes%2F1%2F13870.11109.2023-07-13%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32222%257C7903%257C13870%257C2023-07-13T16%253A10%257C11089%257C2023-07-13T23%253A50%257C400%257C-%257C-%257C-%253Bflight%257C-32222%257C7970%257C11089%257C2023-07-14T02%253A05%257C11109%257C2023-07-14T16%253A55%257C590%257C-%257C-%257C-%26carriers%3D-32222%26operators%3D-31939%253B-31939%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D358ad869-6cff-4b5d-a2a2-e15f369867c3%26ticket_price%3D606.80%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3D391ac5e7-5417-4f7e-bf09-ef1d09768d25%26q_ids%3DH4sIAAAAAAAAAOOS4mJJLkktFmLmWJcjxczxNEyh4e-epWxGTAqMANZcSO8cAAAA%257C-6681369287589203677%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T18%253A41%253A27%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Qatar Airways,14-01-2023
DPS,MAD,21-08-2023,611.42,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fa582%2F1%2F11109.13870.2023-08-21%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32516%257C8519%257C11109%257C2023-08-21T18%253A00%257C10485%257C2023-08-21T18%253A50%257C110%257CLSSOPID1%257CK%257C-%253Bflight%257C-32348%257C359%257C10485%257C2023-08-22T00%253A40%257C11182%257C2023-08-22T05%253A30%257C470%257CLSSOPID1%257CL%257C-%253Bflight%257C-32348%257C141%257C11182%257C2023-08-22T07%253A40%257C13870%257C2023-08-22T13%253A25%257C465%257CLSSOPID1%257CL%257C-%26carriers%3D-32516%252C-32348%26operators%3D-32516%253B-32348%253B-32348%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D6f741f47-a379-4dc4-bed2-c0ee1f81501b%26ticket_price%3D611.42%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3Dc83b8cab-9aa2-40d5-af15-c96df7b618df%26q_ids%3DH4sIAAAAAAAAAOOS4mJJNLUwEmLmeBomxcyxLkeh4VLXcjYjJgVGAMra_JIcAAAA%257C5010395504122543430%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T18%253A41%253A37%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Batik Air,14-01-2023
MAD,KUL,11-07-2023,582.99,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fctes%2F1%2F13870.13311.2023-07-11%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32348%257C142%257C13870%257C2023-07-11T15%253A20%257C11182%257C2023-07-12T00%253A45%257C445%257C-%257C-%257C-%253Bflight%257C-32348%257C346%257C11182%257C2023-07-12T03%253A10%257C13311%257C2023-07-12T14%253A25%257C435%257C-%257C-%257C-%26carriers%3D-32348%26operators%3D-32348%253B-32348%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D104445f8-4b60-482c-ba24-dccc7d44be6c%26ticket_price%3D582.99%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3Dc4671c22-9b02-4d6c-b250-83a7603a037f%26q_ids%3DH4sIAAAAAAAAAOOS4mJJLkktFmLmWJcjxczxT1GhYfumpWxGTAqMACz3ua0cAAAA%257C-5662458393274101845%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-13T10%253A02%253A54%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Emirates,14-01-2023
KUL,MAD,20-08-2023,511.81,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fctes%2F1%2F13311.13870.2023-08-20%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32348%257C343%257C13311%257C2023-08-20T02%253A40%257C11182%257C2023-08-20T05%253A30%257C410%257C-%257C-%257C-%253Bflight%257C-32348%257C141%257C11182%257C2023-08-20T07%253A40%257C13870%257C2023-08-20T13%253A25%257C465%257C-%257C-%257C-%26carriers%3D-32348%26operators%3D-32348%253B-32348%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D5f6a08f2-d9bc-4411-b86a-131ab2a5cd93%26ticket_price%3D511.81%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3Dedfe0a98-3e63-4e66-8d68-cadb028a18fa%26q_ids%3DH4sIAAAAAAAAAOOS4mJJLkktFmLm-KcoxcyxLkehYX3rcjYjJgVGAKuhb24cAAAA%257C3381746901147606952%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T06%253A48%253A26%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Emirates,14-01-2023
BCN,MNL,09-07-2023,643.02,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fctes%2F1%2F9772.14213.2023-07-09%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32348%257C188%257C9772%257C2023-07-09T20%253A40%257C11182%257C2023-07-10T05%253A35%257C415%257C-%257C-%257C-%253Bflight%257C-32348%257C334%257C11182%257C2023-07-10T09%253A10%257C14213%257C2023-07-10T22%253A10%257C540%257C-%257C-%257C-%26carriers%3D-32348%26operators%3D-32348%253B-32348%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3Df76f43cc-a0d9-4ecd-b0fb-c538b0a40902%26ticket_price%3D643.02%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3Da68d03d1-aefa-4418-affe-1e851d12c869%26q_ids%3DH4sIAAAAAAAAAOOS4mJJLkktFmLmWOMjxczRmq_Q8HH5UjYjJgVGAIZzSGUcAAAA%257C-2228374271596049908%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T20%253A05%253A58%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Emirates,14-01-2023
MNL,BCN,18-08-2023,707.98,https://skyscanner.pxf.io/c/2850210/1103265/13416?u=https%3A%2F%2Fwww.skyscanner.es%2Ftransport_deeplink%2F4.0%2FES%2Fes-ES%2FEUR%2Fgtes%2F1%2F14213.9772.2023-08-18%2Fair%2Ftrava%2Fflights%3Fitinerary%3Dflight%257C-32348%257C335%257C14213%257C2023-08-18T23%253A55%257C11182%257C2023-08-19T04%253A30%257C515%257C-%257C-%257C-%253Bflight%257C-32348%257C185%257C11182%257C2023-08-19T08%253A15%257C9772%257C2023-08-19T13%253A25%257C430%257C-%257C-%257C-%26carriers%3D-32348%26operators%3D-32348%253B-32348%26passengers%3D1%26channel%3Ddataapi%26cabin_class%3Deconomy%26facilitated%3Dfalse%26fps_session_id%3D34f633ea-3367-4319-bdb4-f2626f4f89f3%26ticket_price%3D707.98%26is_npt%3Dfalse%26is_multipart%3Dfalse%26client_id%3Dskyscanner_b2b%26request_id%3Dbe11fea4-c00e-4d63-949e-062b262bc317%26q_ids%3DH4sIAAAAAAAAAOOS4mJJL0ktFmLmaM2XYuZY46PQ8PLXMjYjJgVGAIlMgowcAAAA%257C-2229191515799177845%257C2%26q_sources%3DJACQUARD%26commercial_filters%3Dfalse%26q_datetime_utc%3D2023-01-14T15%253A08%253A49%26pqid%3Dtrue%26api_logo%3Dhttps%253A%252F%252Flogos.skyscnr.com%252Fimages%252Fpartners%252Fdefault.png%26api_pbs%3Dtrue%26associate_id%3DAFF_TRA_19354_00001%26app_id%3DG4IcGcdmVpjw77HZ3bCQanBnLBKNE76h2RC%25252Bq0zWNAx4vlSXpxjay009pDhvp9R8&associateid=AFF_TRA_19354_00001,Emirates,14-01-2023
